source,destination,hamming_distance_ups,hamming_distance_downs,hamming_distance_LR,hamming_distance_total,fitts_ratio,normalized_fitts_ratio
1,52,0,2,36,38,0.4971116574774726,0.3399961365547938
1,53,0,2,7,9,1.7662371883812045,1.2080059102541252
1,54,0,3,13,16,2.000439360028111,1.3681868924035918
1,55,0,2,13,15,2.8178747999919644,1.9272663010036062
1,56,0,1,11,12,0.8377930468493472,0.5730028553477561
1,57,0,0,11,11,2.615510657596333,1.7888607223839643
1,58,0,2,6,8,3.0170005614091706,2.063457010981977
1,59,0,2,1,3,0.16119912808400869,0.11025104710413673
1,60,0,2,12,14,1.0639111611699426,0.7276548014802836
1,61,0,1,14,15,0.14333769086537113,0.09803483861997347
1,62,0,2,13,15,0.18454769367204082,0.12622013971063406
1,63,0,2,2,4,0.08452380952380953,0.05780948455486749
1,64,0,1,24,25,0.8016376782285201,0.5482746369246089
1,65,0,1,23,24,0.8547839903542973,0.5846236955779323
1,66,0,1,22,23,1.1752544808281449,0.8038073075532071
1,67,0,1,21,22,1.2296950072237487,0.8410415352525511
1,68,0,1,20,21,1.6715769570313124,1.1432636889438055
1,69,0,1,19,20,1.9204537842821878,1.313481301970004
1,70,0,2,11,13,2.1384359617635913,1.4625687294456655
1,71,0,2,10,12,2.3432025295963284,1.6026174306006382
1,72,0,2,9,11,2.563228216310223,1.7531025023149938
1,73,0,1,18,19,0.5172338131580808,0.3537585480525989
1,74,0,1,16,17,0.17991957617309495,0.1230547702297654
1,75,0,0,2,2,0.22900196952797774,0.15662433928433755
1,76,0,0,1,1,2.7434815558907544,1.8763855477568667
1,77,0,1,2,3,0.11817038941140025,0.08082183398982615
1,78,0,1,10,11,9.284065259528052,6.349773279869546
2,0,2,0,0,2,0.00093195324178108,0.000637403080151348
2,1,1,0,1,2,1.7997099776232421,1.2308993967592596
2,3,1,1,1,3,0.16670970518685901,0.114019968828209
2,4,1,1,2,4,0.40911177841417684,0.2798092178841821
2,5,1,0,4,5,0.6632815234728707,0.453646886040232
2,6,1,0,3,4,1.3214375458388896,0.9037882204643948
2,7,1,1,2,4,0.6794006973956321,0.46467148539483877
2,8,1,0,2,3,5.918183563747823,4.047701390280765
2,9,1,0,3,4,10.027799419028664,6.858445199045962
2,10,1,0,4,5,9.351870187000728,6.39614799877489
2,11,1,0,6,7,0.1262425766824771,0.08634275156323325
2,12,1,0,7,8,0.0016513065351137191,0.001129399871761788
2,13,1,0,5,6,0.005142781846226701,0.003517370660213184
2,14,1,2,24,27,0.2769957280567302,0.18944934395496124
2,15,1,1,6,8,0.4999971094840719,0.341969621826566
2,16,0,1,0,1,0.058333333333333334,0.03989668652378178
2,17,1,2,2,5,0.9022469655126913,0.6170856745730263
2,18,1,0,2,3,0.43960801805107513,0.30066691353471
2,19,1,1,5,7,0.005437180487988473,0.003718722608614268
2,20,1,1,24,26,0.010774606956644875,0.007369219134278041
2,21,1,1,25,27,0.6886383201430107,0.4709894946344466
2,22,1,2,28,31,1.272805032096283,0.8705263435103556
2,23,1,2,29,32,2.176838277230487,1.4888337318794387
2,24,1,2,26,29,1.2853707720510228,0.8791205958745892
2,25,1,2,27,30,1.0413641652763443,0.712233937013657
2,26,1,3,24,28,1.0289374838536172,0.703734792786455
2,27,1,2,32,35,1.3134933410354404,0.8983548356291274
2,28,1,2,31,34,1.1956699946519989,0.8177703593575308
2,29,1,1,7,9,0.4712495144721239,0.32230789977220614
2,30,1,2,25,28,3.3972454323395627,2.323522903858304
2,31,1,2,13,16,0.23440775479159404,0.1603215893428069
2,32,1,1,8,10,1.010888155807368,0.6913900776488646
2,33,1,1,9,11,1.0151756659086453,0.6943224910170626
2,34,1,3,11,15,0.3371654720690652,0.2306020310705554
2,35,1,0,8,9,0.562294557401062,0.3845775375541508
2,36,1,1,6,8,0.515103635022456,0.3523016272071674
2,37,1,2,7,10,0.4465295708553723,0.30540086249169596
2,38,1,2,36,39,2.058944140662669,1.408200839142785
2,39,1,2,34,37,0.9635496120793529,0.6590132026841397
2,40,1,2,14,17,0.8188726426966173,0.5600623736325894
2,41,1,0,9,10,1.4848359736535524,1.0155434636586873
2,42,1,1,3,5,0.19710699120222908,0.13480998582241965
2,43,1,2,30,33,0.8546583427195497,0.5845377597328583
2,44,1,1,8,10,0.8615796316607545,0.5892715282224771
2,45,1,1,11,13,1.5873338923296165,1.0856462179002702
2,46,1,1,12,14,0.7053928771338077,0.48244865991627506
2,47,1,1,16,18,2.766243336148752,1.8919533125284644
2,48,1,3,25,29,1.055273919706718,0.7217474189359098
2,49,1,2,33,36,2.5592593994101867,1.75038805699389
2,50,1,1,14,16,2.234804345994529,1.5284792302993524
2,51,1,1,7,9,1.0230163732805062,0.6996850894880312
2,52,1,2,35,38,2.215152364962736,1.5150383915542651
2,53,1,2,6,9,0.3180793663999057,0.21754821893040285
2,54,1,3,12,16,0.39277672978196987,0.2686369724905268
2,55,1,2,12,15,0.33181818181818185,0.22694478827813533
2,56,1,1,10,12,1.5371629134497122,1.0513321181809077
2,57,1,0,10,11,3.9396878048901285,2.6945226746274415
2,58,1,2,5,8,0.11277173598360139,0.07712946170195019
2,59,1,2,2,5,1.1886045833867087,0.812938019384739
2,60,1,2,11,14,0.17975430709409262,0.12294173556741629
2,61,1,1,13,15,1.4513052684561305,0.9926103659298379
2,62,1,2,12,15,0.9409705733096603,0.6435704227103785
2,63,1,2,3,6,1.3809544334960115,0.9444943909168635
2,64,1,1,23,25,1.971218488094641,1.3482014758181997
2,65,1,1,22,24,1.569170332445322,1.0732233746741051
2,66,1,1,21,23,1.5934060753362176,1.0897992461619173
2,67,1,1,20,22,1.1923856118159195,0.8155240280586428
2,68,1,1,19,21,1.0973246977749744,0.7505077625474013
2,69,1,1,18,20,0.8510057450224554,0.5820395903845419
2,70,1,2,10,13,0.6378306715431804,0.43623994899105417
2,71,1,2,9,12,0.44268519847514615,0.30277153015338903
2,72,1,2,8,11,0.15429330384404602,0.10552785559173461
2,73,1,1,17,19,2.768890689404376,1.893763951779162
2,74,1,1,15,17,2.6420199566866662,1.8069915771686307
2,75,1,0,1,2,0.020202308534863316,0.01381723149723708
2,76,1,0,0,1,0.02715518986740276,0.018572607388003603
2,77,1,1,3,5,2.0209079071769014,1.3821862159897498
2,78,1,1,9,11,5.396914122474728,3.6911827018310586
3,0,2,0,0,2,0.0009011280152243382,0.0006163203761349101
3,1,1,0,2,3,1.7353807327922761,1.1869018473535569
3,2,1,1,1,3,0.15281722975462075,0.1045183047591916
3,4,0,0,1,1,0.22727272727272727,0.15544163580694204
3,5,1,0,5,6,0.6224600393300617,0.42572730964684036
3,6,1,0,4,5,1.2500042165555465,0.8549318808226642
