source,destination,hamming_distance,fitts_ratio
27,59,2,5.475924833664477
27,60,1,3.9506142233160966
27,48,1,2.1255308820838588
27,32,1,3.2129937233341983
27,33,1,3.2457940571147
27,34,2,4.951987021743591
27,35,1,3.3739577707778796
27,104,1,0
27,105,1,1.0
27,62,1,3.2129937233341983
27,63,1,3.2457940571147
27,64,2,4.951987021743591
27,65,1,3.3739577707778796
28,4,7,5.912378917355495
28,5,8,6.592553992539587
28,7,8,6.304903299721336
28,8,9,6.5989765950566
28,18,1,3.7328590880138353
28,27,1,1.0
28,70,1,1.0603706403395818
28,71,2,1.5036709876705838
28,72,1,-0.20355529175360756
28,73,1,1.433907398308029
28,74,1,2.22461696484473
28,75,1,2.7360894596933534
28,76,2,4.647825907243957
28,77,1,3.2159171390680905
28,78,1,3.496744084127191
28,79,1,3.7318212930642356
28,80,1,3.9339648200219566
28,81,1,4.111267732412448
28,82,1,4.269166626435348
28,83,2,6.016606139701641
28,84,1,4.453982258374636
28,85,1,4.579927851629505
28,87,1,1.0603706403395818
28,88,2,1.5036709876705838
28,89,1,-0.20355529175360756
28,90,1,1.433907398308029
28,91,1,2.22461696484473
28,92,1,2.7360894596933534
28,93,2,4.647825907243957
28,94,1,3.2159171390680905
28,95,1,3.496744084127191
28,96,1,3.7318212930642356
28,97,1,3.9339648200219566
28,98,1,4.111267732412448
28,99,1,4.269166626435348
28,100,2,6.016606139701641
28,101,1,4.453982258374636
28,102,1,4.579927851629505
28,37,1,1.6466645673169387
28,38,2,1.2684888359259021
28,39,1,1.6466645673169387
28,40,1,2.223251163962508
28,41,2,2.692779695105262
28,42,3,4.597780264152339
28,43,1,3.1644765221822992
28,44,1,3.4470205249416486
28,45,2,5.260279275571361
28,46,1,3.7537744755102187
28,67,1,2.263075804296915
28,51,1,1.6466645673169387
28,52,2,1.2684888359259021
28,53,1,1.6466645673169387
28,54,1,2.223251163962508
28,55,2,2.692779695105262
28,56,3,4.597780264152339
28,57,1,3.1644765221822992
28,58,1,3.4470205249416486
28,59,2,5.260279275571361
28,60,1,3.7537744755102187
28,48,1,2.263075804296915
28,32,1,3.2457940571147
28,33,1,3.2129937233341983
28,34,2,4.879502484921082
28,35,1,3.269066401695292
28,104,1,1.0
28,105,1,0
28,62,1,3.2457940571147
28,63,1,3.2129937233341983
28,64,2,4.879502484921082
28,65,1,3.269066401695292
70,4,7,5.975600125738137
70,5,8,6.607172429035269
70,7,8,6.289780719728651
70,8,9,6.612456955959553
70,18,1,3.707748675116167
70,27,1,-0.7589919004962051
70,28,1,1.0603706403395818
70,71,2,2.050626073069968
70,72,1,1.398549376490275
70,73,1,2.2129937233341983
70,74,1,2.7303929402427203
70,75,1,3.110423989693651
70,76,2,4.967432137543569
70,77,1,3.494764691749578
70,78,1,3.7303929402427203
70,79,1,3.9328858041414634
70,80,1,4.1104239896936505
70,81,1,4.268488835925902
70,82,1,4.4109331009461075
70,83,2,6.149747119504682
70,84,1,4.579487370655006
70,85,1,4.6953864904148075
70,87,1,0
70,88,2,2.050626073069968
70,89,1,1.398549376490275
70,90,1,2.2129937233341983
70,91,1,2.7303929402427203
70,92,1,3.110423989693651
70,93,2,4.967432137543569
70,94,1,3.494764691749578
70,95,1,3.7303929402427203
70,96,1,3.9328858041414634
70,97,1,4.1104239896936505
70,98,1,4.268488835925902
70,99,1,4.4109331009461075
70,100,2,6.149747119504682
70,101,1,4.579487370655006
70,102,1,4.6953864904148075
70,37,1,1.5849625007211563
70,38,2,1.850219859070546
70,39,1,2.321928094887362
70,40,1,2.745926548164838
70,41,2,3.094912279440009
70,42,3,4.943268230528053
70,43,1,3.4661500879727614
70,44,1,3.699062662322744
70,45,2,5.48733166958014
70,46,1,3.960194884281811
70,67,1,1.9156078127096277
70,51,1,1.5849625007211563
70,52,2,1.850219859070546
70,53,1,2.321928094887362
70,54,1,2.745926548164838
70,55,2,3.094912279440009
70,56,3,4.943268230528053
70,57,1,3.4661500879727614
70,58,1,3.699062662322744
70,59,2,5.48733166958014
70,60,1,3.960194884281811
70,48,1,1.9156078127096277
70,32,1,3.1179972093984514
70,33,1,3.1552970025013383
70,34,2,4.868425289408147
70,35,1,3.2989877874440667
70,104,1,-0.7589919004962051
70,105,1,1.0603706403395818
70,62,1,3.1179972093984514
70,63,1,3.1552970025013383
70,64,2,4.868425289408147
70,65,1,3.2989877874440667
71,4,7,5.937368388105157
71,5,8,6.591489249798854
71,7,8,6.290336304038638
71,8,9,6.597414631257428
71,18,1,3.7588102944055906
71,27,1,0.5306381701822813
71,28,1,-0.14840570890910917
71,70,1,0.39854937649027483
71,72,1,0.39854937649027483
71,73,1,1.73039294024272
71,74,1,2.4109331009461075
71,75,1,2.87148525947732
71,76,2,4.762500686273344
71,77,1,3.3153554409638764
71,78,1,3.579487370655005
71,79,1,3.802663226732882
71,80,1,3.9958956016672635
71,81,1,4.166277224427168
71,82,1,4.318645510898061
71,83,2,6.063009797525801
71,84,1,4.497670422924989
71,85,1,4.620053165189518
71,87,1,0.39854937649027483
71,88,2,0
71,89,1,0.39854937649027483
71,90,1,1.73039294024272
71,91,1,2.4109331009461075
71,92,1,2.87148525947732
71,93,2,4.762500686273344
71,94,1,3.3153554409638764
71,95,1,3.579487370655005
71,96,1,3.802663226732882
71,97,1,3.9958956016672635
71,98,1,4.166277224427168
71,99,1,4.318645510898061
71,100,2,6.063009797525801
71,101,1,4.497670422924989
71,102,1,4.620053165189518
71,37,1,1.7123000531966541
71,38,2,1.6212918051217067
71,39,1,2.008611272202541
71,40,1,2.4752207105554342
71,41,2,2.8727086838502816
71,42,3,4.7469889760197015
71,43,1,3.291191533948361
71,44,1,3.5495489028997653
71,45,2,5.3511393589024365
71,46,1,3.835254973000447
71,67,1,1.9986947307688079
71,51,1,1.7123000531966541
71,52,2,1.6212918051217067
71,53,1,2.008611272202541
71,54,1,2.4752207105554342
